,max_num_tokens,num_layers,mid_features,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,500.0,1.0,50.0,0.676625531398664,0.6376055058468516,0.6521993925174917,0.7814729227368633,0.732322756802561,0.7560999319529503
1,500.0,1.0,150.0,0.6846272217135412,0.6333787855368703,0.6525370596935649,0.7890410958904109,0.7321344506167028,0.7595233444032038
2,500.0,1.0,250.0,0.6984848251906448,0.623124021752527,0.6542560405297927,0.7972903092357018,0.7258261933904528,0.7598817151306062
3,500.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
4,500.0,2.0,150.0,0.015873015873015872,1.4751873487932966e-05,2.9476352596129754e-05,1.0,9.415309292910272e-05,0.00018828845791752966
5,500.0,2.0,250.0,0.015873015873015872,1.4751873487932966e-05,2.9476352596129754e-05,1.0,9.415309292910272e-05,0.00018828845791752966
6,500.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
7,500.0,3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
8,500.0,3.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1000.0,1.0,50.0,0.7101291652243548,0.6385927715425459,0.6628107183551161,0.7877542839963925,0.7401374635156764,0.7632038834951456
10,1000.0,1.0,150.0,0.7097464078376925,0.639721054754913,0.6657593633912057,0.7925403225806451,0.7402316166086056,0.7654934034370283
11,1000.0,1.0,250.0,0.7029305238921166,0.6431044836437243,0.6642146916302437,0.7953507258146381,0.7376894830995199,0.7654357170769832
12,1000.0,2.0,50.0,0.005105938738225734,0.015873015873015872,0.007726471422467803,0.32167414050822124,0.10130872799171453,0.15408850064442217
13,1000.0,2.0,150.0,0.02109284172064441,0.01593806921675774,0.007985736476817952,0.32895129967134745,0.10366255531494209,0.1576460481099656
14,1000.0,2.0,250.0,0.03703703703703704,0.0009084847083731029,0.0017267328514627511,0.6964285714285714,0.0036719706242350062,0.007305422871593145
15,1000.0,3.0,50.0,0.005105938738225734,0.015873015873015872,0.007726471422467803,0.32167414050822124,0.10130872799171453,0.15408850064442217
16,1000.0,3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1000.0,3.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,1.0,50.0,0.6894569990927841,0.6540645521248025,0.6631492651247034,0.7713488013863483,0.754354580547971,0.7627570449352628
19,,1.0,150.0,0.7102015720957948,0.6474036390716162,0.6706904236931949,0.7931694539592988,0.7412673006308257,0.7663405850002433
20,,1.0,250.0,0.6994653801213614,0.6418776990216204,0.6641927294659848,0.7950158308650802,0.7328876753601355,0.7626886145404663
