,optimizer,num_hidden,dim_hidden,dropout_rate,learning_rate,num_epochs,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,SWA,2,40,0,0.001,10,0.5620124859070915,0.3626982785938745,0.415069929291241,0.8372027578443788,0.6953777829720096,0.7597280301337505
1,SWA,2,40,0,0.01,10,0.7337177026781092,0.4867858518516007,0.5506323954307561,0.8298752545824847,0.7619353707707591,0.7944554455445545
2,SWA,2,40,0.1,0.001,10,0.5841131548845996,0.37140844658720057,0.42272348045173574,0.8361706526983251,0.7089347279845731,0.7673138953892858
3,SWA,2,40,0.1,0.01,10,0.5920287820757036,0.40348798164005734,0.4571592004835335,0.8383479212253829,0.7164144217846082,0.7725998046444212
4,SWA,2,40,0.2,0.001,10,0.5727737789000756,0.3793311316043741,0.43508923819365053,0.8462901282687265,0.6978320575001461,0.7649244171150398
5,SWA,2,40,0.2,0.01,10,0.615907545234641,0.44432361760554007,0.4930089460689357,0.8230549050221181,0.7393209840472156,0.7789441280591042
6,SWA,2,80,0,0.001,10,0.6113016377167824,0.41584903769457227,0.47107272862282007,0.8404035005678402,0.7351136562846958,0.7842403840159591
7,SWA,2,80,0,0.01,10,0.748210154987259,0.5501455672549099,0.6063197068377193,0.8324791602346403,0.7878221235318179,0.8095352467875585
8,SWA,2,80,0.1,0.001,10,0.6008463954388582,0.4134656676476213,0.46602590645402037,0.8355954757152362,0.7338865190206276,0.781445415798152
9,SWA,2,80,0.1,0.01,10,0.7092401205281754,0.5359502627060834,0.5891250082077051,0.8353777442284708,0.7760182317536376,0.8046046652529536
10,SWA,2,80,0.2,0.001,10,0.5752187477579201,0.417105780346586,0.46759047269314097,0.8406652360515021,0.7325425115409337,0.7828883684621389
11,SWA,2,80,0.2,0.01,10,0.7077256856978138,0.5139138164958097,0.5783066025963373,0.8395756517239149,0.7584292643019926,0.7969421589094928
12,SWA,2,120,0,0.001,10,0.6504958039990555,0.4506070171271599,0.5077878849211708,0.844109243139079,0.742301174545667,0.7899384366643866
13,SWA,2,120,0,0.01,10,0.7313948215425644,0.5580556893774288,0.6109131241602214,0.8349395371677614,0.7948343364693508,0.8143934858100826
14,SWA,2,120,0.1,0.001,10,0.625365348717451,0.4565809689987681,0.5090987243668068,0.8378606158833063,0.7552153333722901,0.794394246726904
15,SWA,2,120,0.1,0.01,10,0.7268649000720602,0.5536244124016826,0.60703994721649,0.8369037240004982,0.7853094138958686,0.8102860932742456
16,SWA,2,120,0.2,0.001,10,0.6191803837695647,0.4479752658714812,0.5013561181689091,0.8435599047870933,0.7455151054753696,0.7915128578962062
17,SWA,2,120,0.2,0.01,10,0.731829027757586,0.6030325458931205,0.6424646343189913,0.8313172451522703,0.7991585344474961,0.8149207484209272
18,SWA,3,40,0,0.001,10,0.5517286226443514,0.3678716082285124,0.4196230046278504,0.8324364825284382,0.71413545257991,0.7687614015222997
19,SWA,3,40,0,0.01,10,0.6014657729117652,0.42847163457117876,0.4762097480534845,0.8135052335971407,0.7448138841816163,0.7776455873829352
20,SWA,3,40,0.1,0.001,10,0.5452688943632066,0.355975889269731,0.40841307487735623,0.8448143762624504,0.7087594226611348,0.7708293612964728
21,SWA,3,40,0.1,0.01,10,0.6038815243748141,0.39232033523133686,0.44970591338124294,0.8137555982085732,0.7432361362706714,0.776898879149742
22,SWA,3,40,0.2,0.001,10,0.5040374804260789,0.3240888144655792,0.37803182190691903,0.8454216097179796,0.6954362180798224,0.7631292080795126
23,SWA,3,40,0.2,0.01,10,0.5567379332410156,0.3777379721364815,0.42585823091990227,0.8309449776936596,0.7183427803424297,0.7705519165073496
24,SWA,3,80,0,0.001,10,0.580826962510513,0.4369620230966211,0.47887797239282537,0.8227504886815058,0.762461286741074,0.7914594201140362
25,SWA,3,80,0,0.01,10,0.67825935960636,0.4886391044584136,0.5368103782193328,0.8335998976393065,0.7614094548004441,0.7958709992670413
26,SWA,3,80,0.1,0.001,10,0.6221461971802797,0.4166012660161631,0.4727703765822995,0.8495592948717948,0.7434698767019225,0.7929820187603228
27,SWA,3,80,0.1,0.01,10,0.6754076792685126,0.47637955623959544,0.521229085549659,0.8227312336611478,0.7723952550692456,0.7967690406582477
28,SWA,3,80,0.2,0.001,10,0.6031820231130578,0.4143579976546139,0.4628818107128868,0.8473257051623204,0.7442879682113014,0.7924716130035776
29,SWA,3,80,0.2,0.01,10,0.6730938533228944,0.43764916141928584,0.4905391993856385,0.8126579158193135,0.7705837667270496,0.7910617876424716
30,SWA,3,120,0,0.001,10,0.6416480472209314,0.4612353428909764,0.5145591031673645,0.8416511043853435,0.763746859112955,0.8008087739721831
31,SWA,3,120,0,0.01,10,0.713918787749331,0.5379296680312359,0.5885468015748475,0.8322143478801443,0.7822707882896044,0.8064700743998314
32,SWA,3,120,0.1,0.001,10,0.6548416132919507,0.4645605032487964,0.5150410995144212,0.8266291722704487,0.7901595278443289,0.8079830300857458
33,SWA,3,120,0.1,0.01,10,0.6509231212852356,0.5408296357579888,0.5734385676950056,0.8192562526114726,0.802021854730322,0.8105474517214906
34,SWA,3,120,0.2,0.001,10,0.6204061705970143,0.4577027122940486,0.5041955483776941,0.8400609291698401,0.7734470870098755,0.8053789284736378
35,SWA,3,120,0.2,0.01,10,0.6603248834587553,0.46436912236483646,0.5122763368599067,0.8339825043100696,0.7632209431426401,0.7970342344541405
